Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),Description
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,"1339,69","Experience superior performance and stunning visuals with the Apple MacBook Pro. This sleek Ultrabook features a brilliant 13.3"" IPS Panel Retina display with a high resolution of 2560x1600, providing crisp images and vibrant colors. Powered by an Intel Core i5 2.3GHz processor and 8GB of RAM, it ensures smooth multitasking and efficient computing. The MacBook Pro comes with a fast 128GB SSD for speedy data access and responsiveness. Equipped with Intel Iris Plus Graphics 640, it delivers impressive graphical performance for both work and entertainment. Weighing just 1.37kg, this lightweight laptop is perfect for on-the-go professionals and students. Running on macOS, this laptop offers a seamless and"
Apple,Macbook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,"898,94","Experience ultimate portability and performance with the Apple Macbook Air. This ultrabook boasts a sleek design and lightweight construction, making it perfect for on-the-go use. The Intel Core i5 processor running at 1.8GHz ensures smooth operation, accompanied by 8GB of RAM for seamless multitasking. With 128GB of flash storage, you can store your files securely and access them quickly. The Macbook Air features a 13.3"" screen with a resolution of 1440x900, providing crisp and clear visuals. Equipped with Intel HD Graphics 6000, it delivers excellent graphics performance for both work and entertainment. Running on macOS, this laptop offers a user-friendly interface and seamless integration with other Apple devices."
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,,1.86kg,"575,00","Experience reliable performance with the HP 250 G6 notebook. Powered by an Intel Core i5 7200U processor running at 2.5GHz, this laptop delivers seamless multitasking capabilities. The 8GB of RAM and 256GB SSD provide ample memory and quick data access. Enjoy clear visuals on the 15.6"" Full HD screen with a resolution of 1920x1080. With Intel HD Graphics 620, you can handle everyday graphics tasks effortlessly. Weighing just 1.86kg, it is light and portable for on-the-go use. Please note that this model does not come with an operating system pre-installed. Priced at 575,00, the HP 250 G6"
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,macOS,,1.83kg,"2537,45","Experience top-tier performance with the Apple MacBook Pro. Powered by an Intel Core i7 processor clocked at 2.7GHz and 16GB of RAM, this ultrabook ensures seamless multitasking and efficiency. It boasts a stunning 15.4"" IPS panel Retina display with a resolution of 2880x1800, delivering crisp visuals and vibrant colors. With a spacious 512GB SSD, you get fast and ample storage for all your files and applications. The laptop is equipped with an AMD Radeon Pro 455 GPU for excellent graphical performance, perfect for creative work or entertainment. Weighing just 1.83kg, it's lightweight and portable, ideal for professionals on the go. Running on macOS, the MacBook"
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,,1.37kg,"1803,60","Experience unparalleled power and performance with the Apple MacBook Pro. This ultrabook boasts a stunning 13.3"" IPS Retina display, providing crisp visuals with a resolution of 2560x1600. Equipped with an Intel Core i5 processor clocked at 3.1GHz and 8GB of RAM, it ensures seamless multitasking and efficient computing. The 256GB SSD offers fast storage access, while the Intel Iris Plus Graphics 650 GPU delivers impressive graphical capabilities. Weighing just 1.37kg, this MacBook Pro is lightweight and portable. Running on macOS, it offers a user-friendly and intuitive operating system. Priced at 1803,60, this laptop is a premium choice for users who"
Acer,Aspire 3,Notebook,"15.6""",1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows,10,2.1kg,"400,00","Experience reliable everyday computing with the Acer Aspire 3 notebook. Powered by an AMD A9-Series 9420 processor clocked at 3GHz and 4GB of RAM, this laptop offers smooth performance for your daily tasks. With a 500GB HDD, you have ample storage space for your files and documents. The 15.6"" screen with a resolution of 1366x768 ensures clear visuals for your entertainment and work needs. Equipped with an AMD Radeon R5 GPU, it provides decent graphics performance for casual gaming and multimedia. Weighing just 2.1kg, it's lightweight and portable for on-the-go use. Running on Windows 10, this Acer Aspire 3 comes at a budget-friendly"
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS,X,2.04kg,"2139,97","Experience unmatched performance and style with the Apple MacBook Pro. This ultrabook features a brilliant 15.4"" IPS Panel Retina Display with a resolution of 2880x1800, delivering stunning visuals for work or entertainment. Powered by an Intel Core i7 processor clocked at 2.2GHz and 16GB of RAM, it ensures seamless multitasking and speedy processing. With 256GB of Flash Storage, you get fast and ample storage for your files and applications. The laptop comes equipped with Intel Iris Pro Graphics for excellent graphical performance. Weighing just 2.04kg, it is highly portable and perfect for on-the-go use. Running on the Mac OS X, it offers a user-friendly interface and a"
Apple,Macbook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,"1158,70","Experience premium performance in a sleek design with the Apple Macbook Air. This ultrabook boasts an Intel Core i5 processor clocked at 1.8GHz and 8GB of RAM, ensuring seamless multitasking and swift application launches. With a 13.3"" display featuring a resolution of 1440x900, you'll enjoy crisp visuals for work or entertainment. The 256GB Flash Storage provides ample space for your files while maintaining high-speed access. Equipped with Intel HD Graphics 6000, this Macbook Air delivers smooth graphics rendering for your content. Weighing just 1.34kg, it's lightweight and easily portable. Running on macOS, this laptop offers a user-friendly interface and seamless integration with other"
Asus,ZenBook UX430UN,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows,10,1.3kg,"1495,00","The Asus ZenBook UX430UN is a sleek ultrabook designed for performance and portability. With an Intel Core i7 8550U processor clocked at 1.8GHz and 16GB of RAM, it offers powerful multitasking capabilities. The 14.0"" Full HD screen with a resolution of 1920x1080 delivers crisp visuals for an enhanced viewing experience. Featuring a 512GB SSD, it provides ample storage space and fast data access. The Nvidia GeForce MX150 GPU ensures smooth graphics performance for light gaming and multimedia tasks. Weighing only 1.3kg, this ultrabook is incredibly lightweight and easy to carry around. Running on Windows 10, it offers a familiar operating environment"
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,"770,00","The Acer Swift 3 is a sleek and lightweight ultrabook designed for on-the-go productivity. Featuring a 14.0"" IPS Full HD display with a resolution of 1920x1080, it delivers sharp visuals and vibrant colors for an enhanced viewing experience. Powered by an Intel Core i5 8250U processor clocked at 1.6GHz and 8GB of RAM, this laptop offers smooth performance for everyday tasks and multitasking. With a fast 256GB SSD, it provides ample storage space and quick data access. The Intel UHD Graphics 620 ensures decent graphical performance for light gaming and multimedia tasks. Weighing just 1.6kg, the Acer Swift 3 is highly portable, making"
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,No OS,,1.86kg,"393,90","The HP 250 G6 is a reliable notebook designed for everyday computing tasks. It features a 15.6"" screen with a resolution of 1366x768, offering clear visuals for work and entertainment. Powered by an Intel Core i5 7200U processor clocked at 2.5GHz and 4GB of RAM, it provides smooth performance for multitasking. The laptop comes with a 500GB HDD for storing your files and data. With Intel HD Graphics 620, it delivers decent graphics for your daily needs. Weighing only 1.86kg, it is lightweight and portable, ideal for working on the go. Please note that the HP 250 G6 does not come with an operating system pre"
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,,1.86kg,"344,99","The HP 250 G6 notebook is a reliable everyday laptop suitable for essential tasks. It features an Intel Core i3 6006U processor running at 2GHz, providing smooth performance for daily computing. With 4GB of RAM and a 500GB HDD, it offers sufficient memory and storage space for your files and applications. The 15.6"" Full HD screen with a resolution of 1920x1080 ensures clear visuals for productivity and entertainment. Equipped with Intel HD Graphics 520, it delivers decent graphical performance for casual tasks. Weighing only 1.86kg, it is lightweight and portable, making it convenient for on-the-go use. Please note that this laptop does not come with an operating system"
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,,1.83kg,"2439,97","Experience top-notch performance with the Apple MacBook Pro. This ultrabook is powered by an Intel Core i7 2.8GHz processor and 16GB of RAM, ensuring seamless multitasking and efficient computing. It boasts a stunning 15.4"" IPS panel Retina display with a sharp resolution of 2880x1800, delivering vibrant colors and crisp visuals. With a fast 256GB SSD, you'll enjoy quick data access and ample storage space. The MacBook Pro features an AMD Radeon Pro 555 GPU for excellent graphics performance, perfect for creative work or multimedia tasks. Weighing just 1.83kg, it's lightweight and portable, ideal for professionals on the go. Running on macOS, this laptop offers a"
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,"498,90","Experience reliable performance with the Dell Inspiron 3567 notebook. Featuring an Intel Core i3 processor clocked at 2GHz and 4GB of RAM, this laptop ensures smooth multitasking and efficient computing. The 256GB SSD provides ample storage space and quick data access. Enjoy crisp visuals on the 15.6"" Full HD screen with a resolution of 1920x1080, powered by an AMD Radeon R5 M430 GPU. Weighing just 2.2kg, this laptop is portable and convenient for daily use. Priced at 498.90, the Dell Inspiron 3567 offers a budget-friendly option for your computing needs."
Apple,"MacBook 12""",Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,,0.92kg,"1262,40","Experience the sleek and lightweight design of the Apple MacBook 12"". This ultrabook boasts a stunning 12.0"" IPS Panel Retina Display with a resolution of 2304x1440, delivering crisp and vibrant visuals. Powered by an Intel Core M m3 processor clocked at 1.2GHz, along with 8GB of RAM and a fast 256GB SSD, this laptop ensures smooth performance and quick data access for everyday tasks. With Intel HD Graphics 615, you can enjoy decent graphical performance for your multimedia needs. Weighing only 0.92kg, it's incredibly portable, making it perfect for users on the go. Running on macOS, this MacBook provides a seamless and user-friendly interface for enhanced"
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,"1518,55","Experience premium performance with the Apple MacBook Pro, an sleek ultrabook that delivers power in a portable package. Boasting a brilliant 13.3"" IPS Retina display with a stunning resolution of 2560x1600, every detail comes to life on this screen. The Intel Core i5 processor clocked at 2.3GHz ensures seamless multitasking, while 8GB of RAM and a fast 256GB SSD provide ample storage and swift data access. Equipped with Intel Iris Plus Graphics 640, this laptop delivers crisp visuals for both work and entertainment. Weighing just 1.37kg, it's light enough to take everywhere. Running on macOS, the MacBook Pro offers a user-friendly interface that's loved"
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,"745,00","Experience high-performance computing with the Dell Inspiron 3567 notebook. Featuring an Intel Core i7 7500U processor clocked at 2.7GHz and 8GB of RAM, it offers powerful processing capabilities for smooth multitasking. The laptop comes with a 15.6"" Full HD display, providing crisp visuals at a resolution of 1920x1080. With a 256GB SSD, you get fast data access and storage capacity for your files. Equipped with an AMD Radeon R5 M430 GPU, it delivers decent graphical performance for your multimedia needs. Weighing only 2.2kg, it's lightweight and portable for your on-the-go lifestyle. Priced at 745,00,"
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,,1.83kg,"2858,00","Experience unmatched performance with the Apple MacBook Pro - a top-tier Ultrabook that redefines power and elegance. This laptop boasts a stunning 15.4"" IPS Panel Retina Display with a crystal-clear resolution of 2880x1800, ensuring vibrant visuals for your professional or creative endeavors. Equipped with an Intel Core i7 processor clocked at 2.9GHz, 16GB of RAM, and a lightning-fast 512GB SSD, the MacBook Pro offers seamless multitasking and swift data access. The AMD Radeon Pro 560 GPU delivers exceptional graphics performance for design work or entertainment. Weighing only 1.83kg, this laptop is incredibly lightweight and portable. Running on macOS, this device provides a user-friendly"
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,,2.2kg,"499,00","The Lenovo IdeaPad 320-15IKB is a reliable notebook that offers a balance of performance and affordability. It features a 15.6"" Full HD display, providing crisp visuals for your everyday computing tasks. Powered by an Intel Core i3 7100U processor clocked at 2.4GHz and 8GB of RAM, this laptop ensures smooth multitasking and responsiveness. With a spacious 1TB HDD, you have ample storage for your files and multimedia. The Nvidia GeForce 940MX GPU enhances your visual experience, whether you're streaming content or working on graphic-intensive projects. Weighing 2.2kg, it is lightweight and portable, ideal for on-the-go use. Please note that this laptop comes"
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.22kg,"979,00","The Dell XPS 13 is a sleek and portable ultrabook designed for productivity and style. Featuring a 13.3"" Full HD touchscreen display with an IPS panel, it offers vivid visuals and intuitive touch controls. Powered by an Intel Core i5 8250U processor clocked at 1.6GHz, this laptop ensures efficient performance for everyday tasks. With 8GB of RAM and a speedy 128GB SSD, it provides quick data access and seamless multitasking. The Intel UHD Graphics 620 guarantees smooth graphics for multimedia and light gaming. Weighing just 1.22kg, it is easy to carry around for work or travel. The Dell XPS 13 comes pre-installed with Windows 10"
Asus,Vivobook E200HA,Netbook,"11.6""",1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows,10,0.98kg,"191,90","The Asus Vivobook E200HA is a lightweight netbook perfect for on-the-go users. Featuring an Intel Atom x5-Z8350 processor and 2GB of RAM, it is suitable for everyday tasks and browsing. With a compact 11.6"" screen and a resolution of 1366x768, it offers clear visuals in a portable design. The netbook includes 32GB of flash storage for storing essential files. Equipped with Intel HD Graphics 400, it supports casual gaming and multimedia playback. Weighing just 0.98kg, it is ultra-portable and easy to carry around. Priced at 191,90, the Asus Vivobook E200HA is an affordable and efficient option for users"
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,"999,00","Experience exceptional gaming performance with the Lenovo Legion Y520-15IKBN. Boasting an Intel Core i5 processor, 8GB of RAM, and a Nvidia GeForce GTX 1050 graphics card, this laptop delivers seamless gameplay and multitasking capabilities. With a combination of a 128GB SSD and a 1TB HDD, you get the perfect blend of speed and storage space for all your gaming needs. The 15.6"" Full HD IPS display ensures crisp visuals, while the Windows 10 operating system provides a user-friendly interface. Weighing 2.5kg, it's a portable powerhouse for gaming on the go. Priced at 999,00, the Lenovo Legion Y520-15IKBN offers great"
HP,255 G6,Notebook,"15.6""",1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,,1.86kg,"258,00","The HP 255 G6 notebook is a budget-friendly option for everyday tasks. It is equipped with an AMD E-Series E2-9000e processor running at 1.5GHz, 4GB of RAM, and a 500GB HDD for storage. The laptop features a 15.6"" screen with a resolution of 1366x768, making it suitable for productivity and multimedia consumption. With an AMD Radeon R2 GPU, it provides basic graphical performance for browsing and light applications. Weighing only 1.86kg, it is lightweight and portable for on-the-go use. Please note that this laptop does not come with an operating system. Priced at 258,00, the HP 255 G"
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,"819,00","The Dell Inspiron 5379 is a versatile 2-in-1 convertible laptop that offers both productivity and flexibility. Featuring a 13.3"" Full HD touchscreen display with a resolution of 1920x1080, this laptop provides a vibrant and interactive visual experience. With an Intel Core i5 8250U processor clocked at 1.6GHz and 8GB of RAM, it ensures efficient multitasking and seamless performance. The 256GB SSD storage allows for fast data access and ample space for your files. Equipped with Intel UHD Graphics 620, it delivers decent graphical performance for everyday tasks. Weighing only 1.62kg, it is lightweight and easy to carry around. The Dell Insp"
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.91kg,"659,00","Experience top-tier performance with the HP 15-BS101nv Ultrabook. Featuring an Intel Core i7 8550U processor and 8GB of RAM, this laptop offers fast and efficient multitasking capabilities. The 256GB SSD provides ample storage space for your files and applications, ensuring quick access to data. Enjoy crisp visuals on the 15.6"" Full HD display with a resolution of 1920x1080. The Intel HD Graphics 620 GPU delivers smooth graphics performance for multimedia and casual gaming. Weighing only 1.91kg, this Ultrabook is lightweight and portable, making it perfect for on-the-go use. With Windows 10 as the operating system, you can enjoy a user-friendly"
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.3kg,"418,64","Experience reliable performance with the Dell Inspiron 3567 notebook. Equipped with an Intel Core i3 processor running at 2GHz and 4GB of RAM, this laptop ensures smooth multitasking and efficient computing for everyday tasks. It features a 15.6"" screen with 1366x768 resolution, offering a decent viewing experience. With a large 1TB HDD, you have ample storage space for your files and documents. The Intel HD Graphics 520 GPU provides decent graphical performance for light gaming and multimedia tasks. Weighing 2.3kg, it is portable and easy to carry around. Running on Windows 10, this Dell notebook provides a familiar and user-friendly interface. Priced at 418.64"
Apple,MacBook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS,X,1.35kg,"1099,00","Experience the sleek and lightweight design of the Apple MacBook Air, an exceptional ultrabook for your everyday needs. Boasting a vibrant 13.3"" screen with a resolution of 1440x900, it offers crisp visuals for work and entertainment. The Intel Core i5 processor clocked at 1.6GHz, along with 8GB of RAM and 128GB of flash storage, ensures seamless performance and swift multitasking. Powered by Intel HD Graphics 6000, this laptop provides smooth graphics for your tasks. Running on Mac OS X, it offers a user-friendly interface for optimized functionality. Weighing just 1.35kg, the MacBook Air is incredibly portable and perfect for on-the-go use. Priced"
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,"800,00","Experience seamless computing with the Dell Inspiron 5570 notebook. Featuring an Intel Core i5 8250U processor, 8GB of RAM, and a speedy 256GB SSD, this laptop ensures smooth performance and quick data access. The 15.6"" Full HD display offers vibrant visuals, while the AMD Radeon 530 GPU enhances graphical capabilities for multimedia tasks. Weighing just 2.2kg, it's easily portable for on-the-go use. Priced at 800,00, this Dell laptop is a great choice for users looking for a reliable and efficient computing device."
Dell,Latitude 5590,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,"1298,00","Experience high performance in a sleek design with the Dell Latitude 5590 Ultrabook. Featuring an Intel Core i7 processor and 8GB of RAM, this laptop ensures seamless multitasking and efficient computing. With dual 256GB SSD storage, enjoy fast data access and ample storage space for your files. The 15.6"" Full HD display delivers vibrant visuals, ideal for work or entertainment. Weighing just 1.88kg, it's lightweight and portable for on-the-go productivity. Equipped with Intel UHD Graphics 620, this Ultrabook offers crisp graphics. Running on Windows 10, it provides a familiar and user-friendly interface. Priced at 1298,00, the Dell Latitude 559"
